dataset,data_family,scenario,gcm,rcm,variant,rank,year,hwmid_sum,hwmid_method,country_cells,countries,source_file_count,scenario_file_count,reference_file_count,source_inventory_name_size_sha256,available_year_start,available_year_end,rank_year_start,rank_year_end
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,6,1990,17517.709,russo2015-noleap365-v1,6115,Germany+France,65,65,0,92b76c29be2517743c0e6e21b5fb95e45a2bf1cab709d5cfc8e8c10e2c3d498f,1950,2014,1950,2014.0
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,7,2008,16925.395,russo2015-noleap365-v1,6115,Germany+France,65,65,0,92b76c29be2517743c0e6e21b5fb95e45a2bf1cab709d5cfc8e8c10e2c3d498f,1950,2014,1950,2014.0
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,8,1957,15504.636,russo2015-noleap365-v1,6115,Germany+France,65,65,0,92b76c29be2517743c0e6e21b5fb95e45a2bf1cab709d5cfc8e8c10e2c3d498f,1950,2014,1950,2014.0
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,9,2004,14963.558,russo2015-noleap365-v1,6115,Germany+France,65,65,0,92b76c29be2517743c0e6e21b5fb95e45a2bf1cab709d5cfc8e8c10e2c3d498f,1950,2014,1950,2014.0
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,10,2005,14040.209,russo2015-noleap365-v1,6115,Germany+France,65,65,0,92b76c29be2517743c0e6e21b5fb95e45a2bf1cab709d5cfc8e8c10e2c3d498f,1950,2014,1950,2014.0
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,1,2063,57514.72,russo2015-noleap365-v1,6115,Germany+France,151,86,32,56fe078cb57fcfe7236dc3ad7cf6b9e5a35ae43a85cffdaf693e214997f1cb8f,1950,2100,2015,
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,2,2067,56479.152,russo2015-noleap365-v1,6115,Germany+France,151,86,32,56fe078cb57fcfe7236dc3ad7cf6b9e5a35ae43a85cffdaf693e214997f1cb8f,1950,2100,2015,
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,3,2084,46050.176,russo2015-noleap365-v1,6115,Germany+France,151,86,32,56fe078cb57fcfe7236dc3ad7cf6b9e5a35ae43a85cffdaf693e214997f1cb8f,1950,2100,2015,
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,4,2044,44528.14,russo2015-noleap365-v1,6115,Germany+France,151,86,32,56fe078cb57fcfe7236dc3ad7cf6b9e5a35ae43a85cffdaf693e214997f1cb8f,1950,2100,2015,
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,5,2093,42786.496,russo2015-noleap365-v1,6115,Germany+France,151,86,32,56fe078cb57fcfe7236dc3ad7cf6b9e5a35ae43a85cffdaf693e214997f1cb8f,1950,2100,2015,
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,6,2052,31393.113,russo2015-noleap365-v1,6115,Germany+France,151,86,32,56fe078cb57fcfe7236dc3ad7cf6b9e5a35ae43a85cffdaf693e214997f1cb8f,1950,2100,2015,
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,7,2097,30029.531,russo2015-noleap365-v1,6115,Germany+France,151,86,32,56fe078cb57fcfe7236dc3ad7cf6b9e5a35ae43a85cffdaf693e214997f1cb8f,1950,2100,2015,
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,8,2068,29253.938,russo2015-noleap365-v1,6115,Germany+France,151,86,32,56fe078cb57fcfe7236dc3ad7cf6b9e5a35ae43a85cffdaf693e214997f1cb8f,1950,2100,2015,
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,9,2064,29189.857,russo2015-noleap365-v1,6115,Germany+France,151,86,32,56fe078cb57fcfe7236dc3ad7cf6b9e5a35ae43a85cffdaf693e214997f1cb8f,1950,2100,2015,
