rank,year,hwmid_sum,hwmid_method,country_cells,countries,aggregation,run_name,source_data,source_file_name
1,2092,57152.09,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
2,2082,50744.855,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
3,2085,41870.56,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
4,2098,41549.434,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
5,2090,39502.58,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
6,2072,37310.883,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
7,2096,33321.777,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
8,2086,31008.078,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
9,2094,30978.662,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
10,2100,29097.68,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
11,2095,29095.936,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
12,2093,24818.79,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
13,2079,24605.58,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
14,2097,24473.027,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
15,2083,23806.438,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
16,2089,23403.074,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
17,2099,23351.506,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
18,2080,22864.295,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
19,2071,21941.857,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
20,2063,19772.213,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp85,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc
