ensemble,scenario,driving_model,regional_model,rank,year,hwmid_sum,hwmid_method,country_cells,countries,source_file_name
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,16,2043,12001.035,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,17,2059,11952.932,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,18,2098,11852.939,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,19,2060,11480.786,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,20,2038,11003.856,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,1,2091,64202.68,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,2,2099,57037.01,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,3,2093,54476.89,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,4,2090,54374.87,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,5,2065,52686.97,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,6,2088,51223.6,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,7,2100,49842.17,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,8,2097,44261.98,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,9,2081,42818.98,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,10,2094,37685.605,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,11,2027,34278.83,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,12,2084,30588.271,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,13,2098,28893.506,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,14,2092,28336.385,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,15,2095,27125.658,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,16,2089,26867.04,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,17,2077,25438.324,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,18,2085,24383.559,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,19,2096,21922.738,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,20,2054,20361.885,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,1,2043,30298.39,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,2,2070,27049.078,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,3,2079,21659.887,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,4,2065,20741.78,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,5,2039,19198.787,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,6,2040,19186.648,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,7,2041,18729.105,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,8,2038,16063.481,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,9,2088,13665.989,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,10,2086,13475.312,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,11,2098,13288.786,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,12,2095,12889.806,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,13,2080,11467.56,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,14,2062,11363.81,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,15,2020,11163.929,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,16,2003,10626.006,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,17,2064,10121.61,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,18,2053,9059.989,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF381P,19,2074,8452.613,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
