rank,eobs_year,eobs_hwmid_sum,eobs_country_cells,era5_year,era5_hwmid_sum,era5_country_cells,same_year,hwmid_method
1,2003,25287.0,1790,2003,24925.648,1779,True,russo2015-noleap365-v1
2,2019,10910.798,1790,2025,12593.876,1779,False,russo2015-noleap365-v1
