year,event_period_start,event_period_end,event_period_days,event_period_contribution_sum,hwmid_method,regional_core_start,regional_core_end,regional_core_days,regional_core_contribution_sum,fixed_17_day_start,fixed_17_day_end,fixed_17_day_contribution_sum,regional_core_mean_tmax_c,regional_core_max_tmax_c,regional_core_mean_cells_above_threshold,event_period_mean_cells_above_threshold
2003,2003-08-01,2003-08-31,31,25335.80243186404,russo2015-noleap365-v1,2003-08-02,2003-08-13,12,25029.988721893707,2003-08-02,2003-08-18,25201.816299293263,33.166578916666666,43.15103,0.907766535506839,0.45235634372336764
2026,2026-06-13,2026-07-01,19,24594.48619784051,russo2015-noleap365-v1,2026-06-17,2026-06-28,12,24157.3435413361,2026-06-14,2026-06-30,24507.96343188416,32.633337166666664,43.58609,0.9153550683904816,0.6942398153900772
