dataset,plot_label,data_family,group_label,scenario,gcm,chain_key,rank,year,hwmid_sum,hwmid_method,country_cells
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,6,2091,15525.489,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,7,2096,14944.503,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,8,2074,14258.445,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,9,2000,13632.468,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,10,2076,12909.369,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,11,2099,12148.726,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,12,2048,11969.933,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,13,2042,11760.814,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,14,2072,11168.997,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,15,2039,10489.448,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,16,2073,10199.184,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,17,2031,9983.623,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,18,2071,9710.666,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,19,2029,9543.818,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,20,2028,9468.344,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,1,2092,57152.09,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,2,2082,50744.855,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,3,2085,41870.56,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,4,2098,41549.434,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,5,2090,39502.58,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,6,2072,37310.883,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,7,2096,33321.777,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,8,2086,31008.078,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,9,2094,30978.662,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,10,2100,29097.68,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,11,2095,29095.936,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,12,2093,24818.79,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,13,2079,24605.58,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,14,2097,24473.027,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,15,2083,23806.438,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,16,2089,23403.074,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,17,2099,23351.506,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,18,2080,22864.295,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,19,2071,21941.857,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,20,2063,19772.213,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,1,2069,23747.408,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,2,2070,23068.68,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,3,2065,13957.781,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,4,2074,13461.217,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,5,2084,13453.489,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,6,2078,11561.529,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,7,2080,8891.1875,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,8,2037,8839.11,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,9,2019,8611.15,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,10,2042,8396.378,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,11,2087,8361.165,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,12,2045,8288.381,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,13,2049,8265.6455,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,14,2026,8130.65,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,15,2067,8076.28,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,16,2085,7735.405,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,17,2047,7656.1455,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,18,2096,7553.505,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,19,2073,7460.444,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,20,1961,7447.806,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,1,2091,35876.645,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,2,2060,30944.633,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,3,2099,27422.834,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,4,2080,26550.19,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,5,2089,25327.846,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,6,2098,24076.92,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,7,2094,23395.139,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,8,2100,21590.396,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,9,2024,21317.684,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,10,2092,20498.943,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,11,2081,19577.865,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,12,2068,17218.385,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,13,2053,15807.534,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,14,2097,15705.642,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,15,2063,15649.289,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,16,2096,15369.188,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,17,2093,15257.976,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,18,2095,14433.643,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,19,2084,14242.683,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,20,2065,13014.716,russo2015-noleap365-v1,1779
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CNRM-ICON Historical,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,HISTORICAL,CNRM-ESM2-1,CMIP6 CNRM-ICON,1,2013,68366.02,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CNRM-ICON Historical,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,HISTORICAL,CNRM-ESM2-1,CMIP6 CNRM-ICON,2,2010,37394.406,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CNRM-ICON Historical,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,HISTORICAL,CNRM-ESM2-1,CMIP6 CNRM-ICON,3,1983,28373.822,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CNRM-ICON Historical,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,HISTORICAL,CNRM-ESM2-1,CMIP6 CNRM-ICON,4,2014,21470.71,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CNRM-ICON Historical,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,HISTORICAL,CNRM-ESM2-1,CMIP6 CNRM-ICON,5,1978,20639.97,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CNRM-ICON Historical,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,HISTORICAL,CNRM-ESM2-1,CMIP6 CNRM-ICON,6,2009,19858.684,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CNRM-ICON Historical,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,HISTORICAL,CNRM-ESM2-1,CMIP6 CNRM-ICON,7,1956,18995.752,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CNRM-ICON Historical,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,HISTORICAL,CNRM-ESM2-1,CMIP6 CNRM-ICON,8,2001,16633.207,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CNRM-ICON Historical,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,HISTORICAL,CNRM-ESM2-1,CMIP6 CNRM-ICON,9,2003,15185.663,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CNRM-ICON Historical,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,HISTORICAL,CNRM-ESM2-1,CMIP6 CNRM-ICON,10,2004,13250.922,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CNRM-ICON SSP1-2.6,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP126,CNRM-ESM2-1,CMIP6 CNRM-ICON,1,2076,72819.445,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CNRM-ICON SSP1-2.6,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP126,CNRM-ESM2-1,CMIP6 CNRM-ICON,2,2059,71085.79,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CNRM-ICON SSP1-2.6,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP126,CNRM-ESM2-1,CMIP6 CNRM-ICON,3,2031,61657.51,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CNRM-ICON SSP1-2.6,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP126,CNRM-ESM2-1,CMIP6 CNRM-ICON,4,2084,60299.72,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CNRM-ICON SSP1-2.6,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP126,CNRM-ESM2-1,CMIP6 CNRM-ICON,5,2047,58087.58,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CNRM-ICON SSP1-2.6,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP126,CNRM-ESM2-1,CMIP6 CNRM-ICON,6,2079,56678.94,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CNRM-ICON SSP1-2.6,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP126,CNRM-ESM2-1,CMIP6 CNRM-ICON,7,2038,54021.24,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CNRM-ICON SSP1-2.6,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP126,CNRM-ESM2-1,CMIP6 CNRM-ICON,8,2081,53993.695,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CNRM-ICON SSP1-2.6,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP126,CNRM-ESM2-1,CMIP6 CNRM-ICON,9,2060,53568.75,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CNRM-ICON SSP1-2.6,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP126,CNRM-ESM2-1,CMIP6 CNRM-ICON,10,2017,48500.117,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP245,CNRM-ICON SSP2-4.5,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP245,CNRM-ESM2-1,CMIP6 CNRM-ICON,1,2078,141179.7,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP245,CNRM-ICON SSP2-4.5,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP245,CNRM-ESM2-1,CMIP6 CNRM-ICON,2,2089,126368.14,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP245,CNRM-ICON SSP2-4.5,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP245,CNRM-ESM2-1,CMIP6 CNRM-ICON,3,2090,115196.516,russo2015-noleap365-v1,6115
