dataset,criterion,criterion_label,metric,rank,year,score,country_cells,aggregation,hwmid_method
Historical / E-OBS,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,7,2006,5.342260073981222,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,8,1952,5.126412854397991,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,9,2019,5.073442668292837,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,10,2022,4.942129720568708,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,1,2019,4.6142257142506615,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,2,2022,4.207182408882853,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,3,2003,3.999499736375947,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,4,2025,3.4401546518108392,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,5,2015,3.016308223136717,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,6,2020,2.910771343413104,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,7,2023,2.105825900932325,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,8,2012,2.06007345167708,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,9,1952,1.894706033389664,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,10,2006,1.8444485606869776,1790,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_sum,HWMId sum,hwmid,1,2043,30298.390625,1779,sum,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_sum,HWMId sum,hwmid,2,2070,27049.078125,1779,sum,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_sum,HWMId sum,hwmid,3,2079,21659.88671875,1779,sum,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_sum,HWMId sum,hwmid,4,2065,20741.779296875,1779,sum,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_sum,HWMId sum,hwmid,5,2039,19198.787109375,1779,sum,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_sum,HWMId sum,hwmid,6,2040,19186.6484375,1779,sum,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_sum,HWMId sum,hwmid,7,2041,18729.10546875,1779,sum,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_sum,HWMId sum,hwmid,8,2038,16063.4814453125,1779,sum,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_sum,HWMId sum,hwmid,9,2088,13665.9892578125,1779,sum,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_sum,HWMId sum,hwmid,10,2086,13475.3115234375,1779,sum,russo2015-noleap365-v1
