dataset,weighting,rank,year,weighted_hwmid,weighted_countries
Historical / E-OBS,nuclear_tyndp2024_pemmdb_nt2040,7,2015,4.263131396726011,Czechia+France+Poland
Historical / E-OBS,nuclear_tyndp2024_pemmdb_nt2040,8,1976,3.504481465084534,Czechia+France+Poland
Historical / E-OBS,nuclear_tyndp2024_pemmdb_nt2040,9,1952,3.331216441678189,Czechia+France+Poland
Historical / E-OBS,nuclear_tyndp2024_pemmdb_nt2040,10,1998,3.006639194931448,Czechia+France+Poland
Historical / E-OBS,pumped_hydro_tyndp2024_pemmdb_nt2040,1,2003,8.639012961681782,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland
Historical / E-OBS,pumped_hydro_tyndp2024_pemmdb_nt2040,2,2015,5.407195685315835,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland
Historical / E-OBS,pumped_hydro_tyndp2024_pemmdb_nt2040,3,2025,4.847038713885238,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland
Historical / E-OBS,pumped_hydro_tyndp2024_pemmdb_nt2040,4,2022,4.822600437678708,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland
Historical / E-OBS,pumped_hydro_tyndp2024_pemmdb_nt2040,5,2019,4.777206174564372,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland
Historical / E-OBS,pumped_hydro_tyndp2024_pemmdb_nt2040,6,2023,4.673759704718313,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland
Historical / E-OBS,pumped_hydro_tyndp2024_pemmdb_nt2040,7,1952,3.4230456634584163,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland
Historical / E-OBS,pumped_hydro_tyndp2024_pemmdb_nt2040,8,2017,3.237874813675166,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland
