dataset,weighting,rank,year,weighted_hwmid,weighted_countries
RCP4.5 / IPSL-WRF,nuclear_tyndp2024_pemmdb_nt2040,1,2043,18.988269917914955,Czechia+France+Poland
RCP4.5 / IPSL-WRF,nuclear_tyndp2024_pemmdb_nt2040,2,2079,15.082967773558343,Czechia+France+Poland
RCP4.5 / IPSL-WRF,pumped_hydro_tyndp2024_pemmdb_nt2040,1,2041,20.193618458096406,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland
RCP4.5 / IPSL-WRF,pumped_hydro_tyndp2024_pemmdb_nt2040,2,2043,16.958985929657743,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland
RCP4.5 / IPSL-WRF,pv_tyndp2024_pemmdb_nt2040,1,2070,15.425104682199935,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP4.5 / IPSL-WRF,pv_tyndp2024_pemmdb_nt2040,2,2043,14.808154534518621,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP4.5 / IPSL-WRF,renewables_tyndp2024_pemmdb_nt2040,1,2070,15.261489733601596,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP4.5 / IPSL-WRF,renewables_tyndp2024_pemmdb_nt2040,2,2043,14.823749149801035,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP4.5 / IPSL-WRF,solar_tyndp2024_pemmdb_nt2040,1,2070,15.337629861267558,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP4.5 / IPSL-WRF,solar_tyndp2024_pemmdb_nt2040,2,2043,14.735555140273766,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP4.5 / IPSL-WRF,storage_total_tyndp2024_pemmdb_nt2040,1,2070,16.25588841836235,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP4.5 / IPSL-WRF,storage_total_tyndp2024_pemmdb_nt2040,2,2039,16.01946393820265,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP4.5 / IPSL-WRF,storage_tyndp2024_pemmdb_nt2040,1,2070,16.362839504696318,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Spain+Switzerland
RCP4.5 / IPSL-WRF,storage_tyndp2024_pemmdb_nt2040,2,2039,15.88922395985443,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Spain+Switzerland
RCP4.5 / IPSL-WRF,thermal_tyndp2024_pemmdb_nt2040,1,2041,17.14512250694706,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP4.5 / IPSL-WRF,thermal_tyndp2024_pemmdb_nt2040,2,2070,16.032292207818763,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP4.5 / IPSL-WRF,wind_offshore_tyndp2024_pemmdb_nt2040,1,2070,15.38858149947067,Belgium+France+Germany+Italy+Netherlands+Poland+Spain
RCP4.5 / IPSL-WRF,wind_offshore_tyndp2024_pemmdb_nt2040,2,2043,14.624819344212085,Belgium+France+Germany+Italy+Netherlands+Poland+Spain
RCP4.5 / IPSL-WRF,wind_onshore_tyndp2024_pemmdb_nt2040,1,2070,14.991077721519028,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP4.5 / IPSL-WRF,wind_onshore_tyndp2024_pemmdb_nt2040,2,2043,14.51711642964808,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP4.5 / IPSL-WRF,wind_tyndp2024_pemmdb_nt2040,1,2070,15.124953832652148,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP4.5 / IPSL-WRF,wind_tyndp2024_pemmdb_nt2040,2,2043,14.553389914730023,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,bio_tyndp2024_pemmdb_nt2040,1,2090,33.55527232461462,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland
RCP8.5 / MPI-CLM,bio_tyndp2024_pemmdb_nt2040,2,2092,32.21147668775816,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland
RCP8.5 / MPI-CLM,capacity_tyndp2024_pemmdb_nt2040,1,2092,33.88660369935803,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,capacity_tyndp2024_pemmdb_nt2040,2,2098,28.966869983041953,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,hydro_tyndp2024_pemmdb_nt2040,1,2098,43.77766614685084,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,hydro_tyndp2024_pemmdb_nt2040,2,2090,39.00834432937423,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,nuclear_tyndp2024_pemmdb_nt2040,1,2082,33.84086631410356,Czechia+France+Poland
RCP8.5 / MPI-CLM,nuclear_tyndp2024_pemmdb_nt2040,2,2092,33.45651659008816,Czechia+France+Poland
RCP8.5 / MPI-CLM,pumped_hydro_tyndp2024_pemmdb_nt2040,1,2098,37.724677696763344,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,pumped_hydro_tyndp2024_pemmdb_nt2040,2,2092,36.04505509920447,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,pv_tyndp2024_pemmdb_nt2040,1,2092,33.86457357662398,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,pv_tyndp2024_pemmdb_nt2040,2,2098,28.430962634114703,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,renewables_tyndp2024_pemmdb_nt2040,1,2092,33.88630292884581,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,renewables_tyndp2024_pemmdb_nt2040,2,2098,29.33213405534873,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,solar_tyndp2024_pemmdb_nt2040,1,2092,33.97380286319709,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,solar_tyndp2024_pemmdb_nt2040,2,2098,29.12947104851936,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,storage_total_tyndp2024_pemmdb_nt2040,1,2092,33.51102091611115,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,storage_total_tyndp2024_pemmdb_nt2040,2,2090,28.057960856373885,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,storage_tyndp2024_pemmdb_nt2040,1,2092,32.797935330410574,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Spain+Switzerland
RCP8.5 / MPI-CLM,storage_tyndp2024_pemmdb_nt2040,2,2090,26.5207369213515,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Spain+Switzerland
RCP8.5 / MPI-CLM,thermal_tyndp2024_pemmdb_nt2040,1,2090,37.25390869763804,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,thermal_tyndp2024_pemmdb_nt2040,2,2092,34.58500387975281,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,wind_offshore_tyndp2024_pemmdb_nt2040,1,2092,31.790732143242888,Belgium+France+Germany+Italy+Netherlands+Poland+Spain
RCP8.5 / MPI-CLM,wind_offshore_tyndp2024_pemmdb_nt2040,2,2082,23.979588421367186,Belgium+France+Germany+Italy+Netherlands+Poland+Spain
RCP8.5 / MPI-CLM,wind_onshore_tyndp2024_pemmdb_nt2040,1,2092,33.6131659817902,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,wind_onshore_tyndp2024_pemmdb_nt2040,2,2098,33.25805032186296,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,wind_tyndp2024_pemmdb_nt2040,1,2092,32.99938475847849,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
RCP8.5 / MPI-CLM,wind_tyndp2024_pemmdb_nt2040,2,2098,27.47381258741392,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
